CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgBasketSize,AvgOrderValue,MonetaryPerItem,RecencyBucket,FrequencyBucket
12347.0,2,7,4310.0,2458,351.14285714285717,615.7142857142857,1.7534580960130186,Recent,Medium
12348.0,75,4,1797.24,2341,585.25,449.31,0.7677231952157197,Mid,Medium
12349.0,19,1,1757.55,631,631.0,1757.55,2.7853407290015846,Recent,Low
12350.0,310,1,334.40000000000003,197,197.0,334.40000000000003,1.6974619289340103,Old,Low
12352.0,36,11,1545.41,470,42.72727272727273,140.4918181818182,3.2881063829787234,Mid,High
12353.0,204,1,89.0,20,20.0,89.0,4.45,Old,Low
12354.0,232,1,1079.4,530,530.0,1079.4,2.036603773584906,Old,Low
12355.0,214,1,459.40000000000003,240,240.0,459.40000000000003,1.9141666666666668,Old,Low
12356.0,23,3,2811.43,1591,530.3333333333334,937.1433333333333,1.76708359522313,Recent,Medium
12357.0,33,1,6207.67,2708,2708.0,6207.67,2.2923449039881834,Mid,Low
12358.0,2,2,1168.06,248,124.0,584.03,4.70991935483871,Recent,Low
12359.0,8,6,6245.53,1612,268.6666666666667,1040.9216666666666,3.8743982630272953,Recent,Medium
12360.0,52,3,2662.06,1165,388.3333333333333,887.3533333333334,2.285030042918455,Mid,Medium
12361.0,287,1,189.9,91,91.0,189.9,2.086813186813187,Old,Low
12362.0,3,13,5154.58,2212,170.15384615384616,396.50615384615384,2.330280289330922,Recent,High
12363.0,110,2,552.0,408,204.0,276.0,1.3529411764705883,Mid,Low
12364.0,8,4,1313.1,1506,376.5,328.275,0.8719123505976095,Recent,Medium
12365.0,291,3,320.69,173,57.666666666666664,106.89666666666666,1.853699421965318,Old,Medium
12367.0,4,1,168.9,173,173.0,168.9,0.9763005780346821,Recent,Low
12370.0,51,4,3545.69,2353,588.25,886.4225,1.5068805779855503,Mid,Medium
12371.0,45,2,1887.96,591,295.5,943.98,3.1945177664974618,Mid,Low
12372.0,72,3,1298.04,794,264.6666666666667,432.68,1.6348110831234257,Mid,Medium
12373.0,311,1,364.6,197,197.0,364.6,1.8507614213197972,Old,Low
12374.0,25,1,742.9300000000001,342,342.0,742.9300000000001,2.172309941520468,Recent,Low
12375.0,3,3,455.42,177,59.0,151.80666666666667,2.572994350282486,Recent,Medium
12377.0,315,2,1628.1200000000001,944,472.0,814.0600000000001,1.7247033898305086,Old,Low
12378.0,130,1,4008.62,2529,2529.0,4008.62,1.5850612890470541,Mid,Low
12379.0,82,3,850.29,406,135.33333333333334,283.43,2.094310344827586,Mid,Medium
12380.0,22,5,2720.56,1126,225.2,544.112,2.416127886323268,Recent,Medium
12381.0,5,6,1803.96,783,130.5,300.66,2.3039080459770114,Recent,Medium
12383.0,185,6,1839.31,1529,254.83333333333334,306.5516666666667,1.2029496402877697,Old,Medium
12384.0,29,3,566.16,121,40.333333333333336,188.72,4.6790082644628095,Recent,Medium
12386.0,338,2,401.9,354,177.0,200.95,1.1353107344632767,Old,Low
12388.0,16,6,2780.6600000000003,1462,243.66666666666666,463.4433333333334,1.9019562243502055,Recent,Medium
12390.0,80,1,549.84,353,353.0,549.84,1.5576203966005666,Mid,Low
12391.0,22,1,460.89,300,300.0,460.89,1.5363,Recent,Low
12393.0,72,4,1582.6000000000001,816,204.0,395.65000000000003,1.9394607843137257,Mid,Medium
12394.0,64,2,1272.48,819,409.5,636.24,1.5536996336996338,Mid,Low
12395.0,16,15,2998.28,2113,140.86666666666667,199.88533333333334,1.4189682915286324,Recent,High
12397.0,36,2,2409.9,1263,631.5,1204.95,1.9080760095011877,Mid,Low
12398.0,46,1,1635.6599999999999,1394,1394.0,1635.6599999999999,1.1733572453371592,Mid,Low
12399.0,119,4,1108.65,1178,294.5,277.1625,0.9411290322580645,Mid,Medium
12401.0,303,1,84.3,11,11.0,84.3,7.663636363636363,Old,Low
12402.0,323,1,225.60000000000002,94,94.0,225.60000000000002,2.4000000000000004,Old,Low
