CustomerID,NumTransactions,TotalQuantity,TotalSpend,IsZeroSpend,IsNegativeSpend,IsZeroOrNegativeQuantity,IsProblemCustomer
12346.0,2,0,0.0,True,False,True,True
12347.0,7,2458,4310.0,False,False,False,False
12348.0,4,2341,1797.24,False,False,False,False
12349.0,1,631,1757.55,False,False,False,False
12350.0,1,197,334.4,False,False,False,False
12352.0,11,470,1545.41,False,False,False,False
12353.0,1,20,89.0,False,False,False,False
12354.0,1,530,1079.4,False,False,False,False
12355.0,1,240,459.4,False,False,False,False
12356.0,3,1591,2811.43,False,False,False,False
12357.0,1,2708,6207.67,False,False,False,False
12358.0,2,248,1168.06,False,False,False,False
12359.0,6,1612,6245.53,False,False,False,False
12360.0,3,1165,2662.06,False,False,False,False
12361.0,1,91,189.9,False,False,False,False
12362.0,13,2212,5154.58,False,False,False,False
12363.0,2,408,552.0,False,False,False,False
12364.0,4,1506,1313.1,False,False,False,False
12365.0,3,173,320.69,False,False,False,False
12367.0,1,173,168.9,False,False,False,False
12370.0,4,2353,3545.69,False,False,False,False
12371.0,2,591,1887.96,False,False,False,False
12372.0,3,794,1298.04,False,False,False,False
12373.0,1,197,364.6,False,False,False,False
12374.0,1,342,742.9300000000001,False,False,False,False
12375.0,3,177,455.42,False,False,False,False
12377.0,2,944,1628.12,False,False,False,False
12378.0,1,2529,4008.62,False,False,False,False
12379.0,3,406,850.29,False,False,False,False
12380.0,5,1126,2720.56,False,False,False,False
12381.0,6,783,1803.96,False,False,False,False
12383.0,6,1529,1839.31,False,False,False,False
12384.0,3,121,566.16,False,False,False,False
12386.0,2,354,401.9,False,False,False,False
12388.0,6,1462,2780.66,False,False,False,False
12390.0,1,353,549.84,False,False,False,False
12391.0,1,300,460.89,False,False,False,False
12393.0,4,816,1582.6000000000001,False,False,False,False
12394.0,2,819,1272.48,False,False,False,False
12395.0,15,2113,2998.28,False,False,False,False
12397.0,2,1263,2409.9,False,False,False,False
12398.0,1,1394,1635.6599999999999,False,False,False,False
12399.0,4,1178,1108.65,False,False,False,False
12401.0,1,11,84.3,False,False,False,False
12402.0,1,94,225.6,False,False,False,False
12403.0,2,95,409.7,False,False,False,False
12405.0,1,857,1710.39,False,False,False,False
12406.0,3,1809,3280.75,False,False,False,False
12407.0,5,1416,1708.1200000000001,False,False,False,False
12408.0,9,1399,2842.57,False,False,False,False
12409.0,7,5543,11056.93,False,False,False,False
12410.0,3,209,681.0799999999999,False,False,False,False
12412.0,3,829,1226.88,False,False,False,False
12413.0,5,282,694.15,False,False,False,False
12414.0,3,300,562.41,False,False,False,False
12415.0,26,76946,123725.45,False,False,False,False
12417.0,12,1539,3578.8,False,False,False,False
12418.0,1,407,668.58,False,False,False,False
12420.0,1,345,600.39,False,False,False,False
12421.0,5,483,806.27,False,False,False,False
12422.0,3,370,803.5600000000001,False,False,False,False
12423.0,9,1327,1849.11,False,False,False,False
12424.0,2,740,1760.96,False,False,False,False
12425.0,1,496,777.2,False,False,False,False
12426.0,1,258,582.73,False,False,False,False
12427.0,5,236,708.37,False,False,False,False
12428.0,12,3503,7877.2,False,False,False,False
12429.0,4,1557,3750.4,False,False,False,False
12430.0,1,117,256.4,False,False,False,False
12431.0,18,2856,6416.39,False,False,False,False
12432.0,5,1801,5059.32,False,False,False,False
12433.0,7,11071,13375.87,False,False,False,False
12434.0,4,373,765.19,False,False,False,False
12435.0,2,2055,7829.89,False,False,False,False
12436.0,1,211,509.01,False,False,False,False
12437.0,19,2917,4896.66,False,False,False,False
12438.0,2,1180,2906.85,False,False,False,False
12441.0,1,121,173.55,False,False,False,False
12442.0,1,182,172.06,False,False,False,False
12444.0,5,1153,5005.46,False,False,False,False
12445.0,1,62,133.4,False,False,False,False
12446.0,1,351,1002.3100000000001,False,False,False,False
12447.0,1,190,476.49,False,False,False,False
12448.0,1,243,449.45,False,False,False,False
12449.0,4,1553,4067.29,False,False,False,False
12450.0,2,128,197.88,False,False,False,False
12451.0,6,6455,8933.52,False,False,False,False
12452.0,3,183,428.57,False,False,False,False
12453.0,1,473,707.09,False,False,False,False
12454.0,2,0,5.684341886080802e-14,False,False,True,True
12455.0,6,2089,2466.86,False,False,False,False
12456.0,4,1616,3153.89,False,False,False,False
12457.0,12,694,1917.78,False,False,False,False
12458.0,2,506,947.4,False,False,False,False
12461.0,2,287,826.88,False,False,False,False
12462.0,4,514,1124.01,False,False,False,False
12463.0,7,757,1303.63,False,False,False,False
12464.0,8,112,1212.05,False,False,False,False
12465.0,3,475,733.89,False,False,False,False
12468.0,3,364,724.0400000000001,False,False,False,False
12471.0,49,7965,18740.92,False,False,False,False
12472.0,13,4020,6229.48,False,False,False,False
12473.0,9,2363,2848.23,False,False,False,False
12474.0,30,4764,7116.47,False,False,False,False
12475.0,1,535,723.38,False,False,False,False
12476.0,20,2337,6546.58,False,False,False,False
12477.0,9,3620,13117.01,False,False,False,False
12478.0,1,236,680.99,False,False,False,False
12479.0,3,351,477.3,False,False,False,False
12480.0,4,1707,3281.63,False,False,False,False
12481.0,11,3290,5590.86,False,False,False,False
12483.0,13,1097,2327.13,False,False,False,False
12484.0,8,2185,4495.27,False,False,False,False
12488.0,3,529,1298.66,False,False,False,False
12489.0,1,105,334.93,False,False,False,False
12490.0,10,3064,5417.93,False,False,False,False
12491.0,1,260,460.40000000000003,False,False,False,False
12492.0,2,192,263.21000000000004,False,False,False,False
12493.0,3,206,416.79,False,False,False,False
12494.0,13,690,1139.3500000000001,False,False,False,False
12497.0,1,1236,1043.1,False,False,False,False
12498.0,3,159,403.70000000000005,False,False,False,False
12500.0,13,2671,4206.27,False,False,False,False
12501.0,2,1722,2089.68,False,False,False,False
12502.0,5,820,3723.87,False,False,False,False
12503.0,1,-1,-1126.0,False,True,True,True
12504.0,4,51,114.0,False,False,False,False
12505.0,1,-1,-4.5,False,True,True,True
12506.0,1,23,73.5,False,False,False,False
12507.0,4,883,1258.06,False,False,False,False
12508.0,2,272,398.27,False,False,False,False
12509.0,1,55,176.5,False,False,False,False
12510.0,2,353,982.5699999999999,False,False,False,False
12512.0,2,99,138.03,False,False,False,False
12513.0,2,456,586.79,False,False,False,False
12514.0,1,440,1017.68,False,False,False,False
12515.0,1,131,383.7,False,False,False,False
12516.0,2,875,1312.06,False,False,False,False
12517.0,6,1348,2464.89,False,False,False,False
12518.0,5,1318,2056.89,False,False,False,False
12519.0,1,183,340.84,False,False,False,False
12520.0,6,1430,2582.51,False,False,False,False
12521.0,1,309,599.68,False,False,False,False
12522.0,2,194,192.72,False,False,False,False
12523.0,13,861,1745.57,False,False,False,False
12524.0,8,3699,4485.72,False,False,False,False
12526.0,3,632,1316.66,False,False,False,False
12527.0,3,234,348.71000000000004,False,False,False,False
12528.0,8,750,1922.28,False,False,False,False
12530.0,5,900,1623.63,False,False,False,False
12531.0,1,45,125.22,False,False,False,False
12532.0,1,153,349.83000000000004,False,False,False,False
12534.0,1,651,1089.18,False,False,False,False
12535.0,2,219,716.35,False,False,False,False
12536.0,5,2652,4106.82,False,False,False,False
12538.0,1,191,363.95,False,False,False,False
12539.0,5,2066,3852.5,False,False,False,False
12540.0,19,6677,13309.039999999999,False,False,False,False
12541.0,3,680,981.18,False,False,False,False
12544.0,2,132,355.7,False,False,False,False
12545.0,2,523,1000.39,False,False,False,False
12546.0,3,617,1141.5,False,False,False,False
12547.0,2,134,207.79999999999998,False,False,False,False
12548.0,1,49,95.19999999999999,False,False,False,False
12550.0,1,569,964.83,False,False,False,False
12551.0,1,100,168.0,False,False,False,False
12552.0,2,88,437.82,False,False,False,False
12553.0,14,1924,3652.25,False,False,False,False
12556.0,2,358,603.71,False,False,False,False
12557.0,5,4384,11990.960000000001,False,False,False,False
12558.0,2,0,1.0658141036401503e-14,False,False,True,True
12559.0,3,281,536.21,False,False,False,False
12560.0,4,1078,2101.39,False,False,False,False
12561.0,1,177,238.85,False,False,False,False
12562.0,7,1779,3781.7400000000002,False,False,False,False
12564.0,1,133,456.9,False,False,False,False
12565.0,2,75,131.17,False,False,False,False
12566.0,2,264,346.7,False,False,False,False
12567.0,11,4089,9114.94,False,False,False,False
12569.0,35,1793,4064.9900000000002,False,False,False,False
12571.0,2,523,519.61,False,False,False,False
